target,processed
2,"['need', 'suggest', 'good', 'ir', 'filter', 'canon', '40d', '...', 'got', '?', 'pl', 'dm']"
2,"['@', 'surfit', ':', 'check', 'googl', 'business-', 'blip', 'show', 'second', 'entri', '!', 'huh', '.', 'good', 'ba', '...', '?', 'http', ':', '//blip.fm/~6emhv']"
4,"['@', 'phyreman9', 'googl', 'alway', 'good', 'place', 'look', '.', ""'ve"", 'mention', 'work', 'mustang', 'w/', 'dad', ',', '@', 'kimblet', '.']"
0,"['play', 'android', 'googl', 'phone', '.', 'slide', 'screen', 'scare', 'would', 'break', 'fucker', 'fast', '.', 'still', 'prefer', 'iphon', '.']"
0,"['u', 'plan', 'resum', 'militari', 'tribun', 'guantanamo', 'bay', '...', 'time', 'trial', 'aig', 'exec', 'chrysler', 'debt', 'holder']"
0,"['omg', 'bore', '&', 'amp', ';', 'tattoooo', 'itchi', '!', '!', 'help', '!', 'aha', '=', ')']"
0,"[""'m"", 'itchi', 'miser', '!']"
0,"['@', 'sekseemess', '.', ""'m"", 'itchi', '.', 'mayb', 'later', ',', 'lol', '.']"
4,"['rt', '@', 'jessverr', 'love', 'nerdi', 'stanford', 'human', 'biolog', 'video', '-', 'make', 'miss', 'school', '.', 'http', ':', '//bit.ly/13t7nr']"
4,"['@', 'spinuzzi', ':', 'bit', 'crazi', ',', 'steep', 'learn', 'curv', ',', 'lyx', 'realli', 'good', 'long', 'doc', '.', 'anyth', 'shorter', ',', 'would', 'insan', '.']"
4,"[""'m"", 'listen', '``', 'p.y.t', ""''"", 'danni', 'gokey', '&', 'lt', ';', '3', '&', 'lt', ';', '3', '&', 'lt', ';', '3', 'aww', ',', ""'s"", 'amaz', '.', '&', 'lt', ';', '3', 'much', ':', ')']"
4,"['go', 'sleep', 'bike', 'ride', ':', ']']"
0,"['cant', 'sleep', '...', 'tooth', 'ach', '.']"
0,"['blah', ',', 'blah', ',', 'blah', 'old', 'old', '.', 'plan', 'today', ',', 'go', 'back', 'sleep', 'guess', '.']"
0,"['glad', 'didnt', 'bay', 'breaker', 'today', ',', ""'s"", '1000', 'freak', 'degre', 'san', 'francisco', 'wtf']"
2,"['san', 'francisco', 'bay', 'breaker', '.']"
2,"['land', 'san', 'francisco']"
2,"['san', 'francisco', 'today', '.', 'suggest', '?']"
0,"['?', 'obama', 'administr', 'must', 'stop', 'bonus', 'aig', 'ponzi', 'schemer', '...', 'http', ':', '//bit.ly/2cuig']"
0,"['start', 'think', 'citi', 'realli', 'deep', '&', 'amp', ';', '^t', '.', 'gon', 'na', 'surviv', 'turmoil', 'gon', 'na', 'next', 'aig', '?']"
0,"['shaunwoo', ""hate'n"", 'aig']"
4,"['@', 'yarnth', 'regret', 'go', 'see', 'star', 'trek', '.', 'awesom', '!']"
2,"['way', 'see', 'star', 'trek', '@', 'esquir', '.']"
2,"['go', 'see', 'star', 'trek', 'soon', 'dad', '.']"
0,"['annoy', 'new', 'trend', 'internet', ':', 'peopl', 'pick', 'apart', 'michael', 'lewi', 'malcolm', 'gladwel', '.', 'nobodi', 'want', 'read', '.']"
2,"['bill', 'simmon', 'convers', 'malcolm', 'gladwel', 'http', ':', '//bit.ly/j9o50']"
4,"['highli', 'recommend', ':', 'http', ':', '//tinyurl.com/howdavidbeatsgoliath', 'malcolm', 'gladwel']"
4,"['blink', 'malcolm', 'gladwel', 'amaz', 'book', 'tip', 'point', '!']"
4,"['malcolm', 'gladwel', 'might', 'new', 'man', 'crush']"
0,"['omg', '.', 'commerci', 'alon', 'espn', 'go', 'drive', 'nut', '.']"
4,"['@', 'robmalon', 'play', 'twitter', 'api', 'sound', 'fun', '.', 'may', 'need', 'take', 'class', 'find', 'new', 'friend', 'like', 'gener', 'result', 'api', 'code', '.']"
2,"['play', 'curl', 'twitter', 'api']"
4,"['hello', 'twitter', 'api', ';', ')']"
2,"['play', 'java', 'twitter', 'api']"
0,"['@', 'morind45', 'twitter', 'api', 'slow', 'client', ""'s"", ""n't"", 'good', '.']"
0,"['yahoo', 'answer', 'butt', 'sometim']"
4,"['scrapbook', 'nic', '=d']"
4,"['rt', '@', 'mashabl', ':', 'five', 'thing', 'wolfram', 'alpha', 'better', '(', 'vastli', 'differ', ')', 'googl', '-', 'http', ':', '//bit.ly/6nsnr']"
4,"['chang', 'default', 'pic', 'nike', 'basketbal', 'caus', 'bball', 'awesom', '!', '!', '!', '!', '!']"
2,"['nike', 'own', 'nba', 'playoff', 'ad', 'w/', 'lebron', ',', 'kobe', ',', 'carmelo', '?', 'http', ':', '//ow.ly/7uiy', '#', 'adida', '#', 'billup', '#', 'howard', '#', 'market', '#', 'brand']"
2,"[""'next"", 'time', ',', ""'ll"", 'call', 'nike', ""'""]"
2,"['new', 'blog', 'post', ':', 'nike', 'sb', 'dunk', 'low', 'premium', ""'white"", 'gum', ""'"", 'http', ':', '//tr.im/lott']"
0,"['rt', '@', 'smartchickpdx', ':', 'told', 'nike', 'layoff', 'start', 'today', ':', '-', '(']"
4,"['back', 'work', 'nike', 'one', 'fav', 'word', ':', '!', ':', ')']"
4,"['way', ',', ""'m"", 'total', 'inspir', 'freaki', 'nike', 'commerci', ':', 'http', ':', '//snurl.com/icgj9']"
2,"['give', 'weka', 'app', 'engin', 'interfac', ',', 'use', 'bird', 'strike', 'data', 'test', ',', 'logo', 'given', '.']"
2,"['brand', 'new', 'canon', 'eo', '50d', '15mp', 'dslr', 'camera', 'canon', '17-85mm', 'len', '...', ':', 'web', 'technolog', 'thread', ',', 'brand', 'new', 'canon', 'eo', '5', '..', 'http', ':', '//u.mavrev.com/5a3t']"
4,"['class', '...', '50d', 'suppos', 'come', 'today', ':', ')']"
0,"['need', 'someon', 'explain', 'lambda', 'calculu', '!', ':', '(']"
0,"['took', 'graduat', 'field', 'exam', 'comput', 'scienc', 'today', '.', 'noth', 'make', 'feel', 'like', 'idiot', 'lambda', 'calculu', '.']"
4,"['shout', 'out', 'east', 'palo', 'alto', 'buildin', 'karizmakaz', '50cal', 'gta', '!', 'also', 'thank', 'profit', 'doom', 'univers', 'hempz', 'cracka', '......']"
0,"['@', 'legalgeekeri', 'yeahhhhhhhhh', ',', 'would', ""n't"", 'realli', 'live', 'east', 'palo', 'alto', 'could', 'avoid', '.', 'guess', ""'s"", 'summer', '.']"
4,"['@', 'accanni', '@', 'edog1203', 'great', 'stanford', 'cours', '.', 'thank', 'make', 'avail', 'public', '!', 'realli', 'help', 'inform', 'start', '!']"
2,"['nvidia', 'name', 'stanford', ""'s"", 'bill', 'dalli', 'chief', 'scientist', ',', 'vp', 'research', 'http', ':', '//bit.ly/fvvg9']"
2,"['new', 'blog', 'post', ':', 'harvard', 'versu', 'stanford', '-', 'win', '?', 'http', ':', '//bit.ly/mcoco']"
4,"['@', 'work', 'til', '6pm', '...', 'let', 'go', 'laker', '!', '!', '!']"
0,"['damn', 'north', 'korea', '.', 'http', ':', '//bit.ly/ktmeq']"
0,"['go', 'ahead', 'blow', 'north', 'korea', 'map', 'alreadi', '?']"
0,"['north', 'korea', ',', 'plea', 'ceas', 'douchebaggeri', '.', 'china', ""n't"", 'even', 'like', 'anymor', '.', 'http', ':', '//bit.ly/nehsl']"
0,"['hell', 'pelosi', 'freakin', 'china', '?', 'whose', 'dime', '?']"
0,"['burn', 'cash', '$', '$', '$', 'chrysler', 'gm', '?', 'stop', 'financi', 'tsunami', '.', '``', 'bailout', ""''"", 'mean', 'take', 'handout', '!']"
0,"['insect', 'infect', 'spinach', 'plant', ':', '(']"
0,"['wish', 'could', 'catch', 'everi', 'mosquito', 'world', 'n', 'burn', 'em', 'slowly.they', 'bitin', 'shit', 'outta', '2day.mosquito', 'asshol', 'insect']"
0,"['got', 'back', 'church', ',', 'total', 'hate', 'insect', '.']"
0,"['got', 'mcdonald', 'goddam', 'egg', 'make', 'sick', '.', 'yeah', 'laker', 'date', 'go', 'laker', '.', 'much', 'updat', '?', 'well', ""'s"", 'true', 'suck']"
4,"['omgg', 'ohhde', 'want', 'mcdonald', 'damn', 'wonder', 'open', 'lol', '=', ']']"
0,"['histori', 'exam', 'studi', 'ugh']"
0,"['hate', 'revis', ',', ""'s"", 'bore', '!', 'total', 'unprepar', 'exam', 'tomorrow', ':', '(', 'thing', 'look', 'good', '...']"
0,"['higher', 'physic', 'exam', 'tommorow', ',', 'lookin', 'forward', 'much', ':', '(']"
0,"[""'s"", 'bank', 'holiday', ',', 'yet', ""'m"", 'work', '.', 'exam', 'season', 'suck', ':', '(']"
0,"['cheney', 'bush', 'real', 'culprit', '-', 'http', ':', '//fwix.com/article/939496']"
0,"['life', '?', 'bitch', '?', 'dick', 'cheney', '.', '#', 'p2', '#', 'bipart', '#', 'tlot', '#', 'tcot', '#', 'hhr', '#', 'gop', '#', 'dnc', 'http', ':', '//is.gd/djyq']"
0,"['dick', 'cheney', ""'s"", 'dishonest', 'speech', 'tortur', ',', 'terror', ',', 'obama', '.', '-fred', 'kaplan', 'slate', '.', 'http', ':', '//is.gd/dihg']"
0,"['``', 'republican', 'parti', 'bunch', 'anti-abort', 'zealot', 'could', ""n't"", 'draw', 'fli', 'dump', '.', ""''"", '--', 'neal', 'boortz', '(', ',', 'radio', ')']"
0,"['twitter', ""'s"", 'connect', 'api', 'broken', '?', 'tweet', ""n't"", 'make', 'twitter', '...']"
0,"['srsli', 'hate', 'stupid', 'twitter', 'api', 'timeout', 'thing', ',', 'soooo', 'annoy', '!', '!', '!', '!', '!', ':', '(']"
4,"['@', 'psychemedia', 'realli', 'like', '@', 'kswedberg', ""'s"", '``', 'learn', 'jqueri', ""''"", 'book', '.', 'http', ':', '//bit.ly/pg0lt', 'worth', 'look']"
2,"['jqueri', 'ui', '1.6', 'book', 'review', '-', 'http', ':', '//cfbloggers.org/', '?', 'c=30631']"
4,"['interest', 'ad', 'adob', 'goodbi', ',', 'silverstein', '&', 'amp', ';', 'partner', '-', 'youtub', '-', 'adob', 'cs4', ':', 'le', 'sen', 'propr', 'http', ':', '//bit.ly/vprpt']"
4,"['goodbi', 'silverstein', 'agenc', 'new', 'site', '!', 'http', ':', '//www.goodbysilverstein.com/', 'great', '!']"
4,"['rt', '@', 'designplay', 'goodbi', ',', 'silverstein', ""'s"", 'new', 'site', ':', 'http', ':', '//www.goodbysilverstein.com/', 'enjoy', '.', '*', 'nice', 'find', '!', '*']"
4,"['ever', 'amaz', 'psyop', 'goodbi', 'silverstein', '&', 'amp', ';', 'partner', 'hp', '!', 'http', ':', '//bit.ly/g2ru8', 'go', 'play', 'effect', '!']"
4,"['top', 'ten', 'watch', 'viral-video', 'chart', '.', 'love', 'nike', '#', 'mostvaluablepuppet', 'campaign', 'wieden', '&', 'amp', ';', 'kennedi', 'http', ':', '//bit.ly/nr1n9']"
4,"['zomg', '!', '!', '!', 'g2', '!', '!', '!', '!', '!', '!', '!']"
4,"['ok', 'lot', 'buzz', 'io2009', 'lucki', '-', 'free', 'g2', '!', '!', 'http', ':', '//is.gd/hyzl']"
4,"['got', 'free', 'g2', 'android', 'googl', 'i/o', '!', '!', '!']"
4,"['guess', ""'ll"", 'retir', 'g1', 'start', 'use', 'develop', 'g2', 'woot', '#', 'googleio']"
2,"['gwt', 'firesid', 'chat', '@', 'googleio']"
4,"['happi', 'philip', 'googleio', 'today']"
4,"['laker', 'play', 'great', '!', 'wait', 'thursday', 'night', 'laker', 'v', '.', '?', '?', '?']"
2,"['hi', ',', 'anyon', 'great', 'sourc', 'advic', 'viral', 'market', '?', '...', 'http', ':', '//link.gs/ytz8']"
4,"['judd', 'apatow', 'creat', 'fake', 'sitcom', 'nbc.com', 'market', 'new', 'movi', '...', 'viral', 'market', 'best', '.', 'http', ':', '//is.gd/k0yk']"
2,"[""'s"", 'case', 'studi', 'use', 'viral', 'market', 'add', '10,000', 'peopl', 'list', 'http', ':', '//snipr.com/i50oz']"
0,"['viral', 'market', 'fail', '.', 'acia', 'pill', 'brand', 'oughta', 'get', 'shut', 'hack', 'peopl', ""'s"", 'messeng', ""'s"", '.', 'get', '5-6', 'msg', 'day', '!', 'arrrgh', '!']"
4,"['watch', 'night', 'museum', '.', 'lmao']"
4,"['love', 'night', 'museum', '!', '!', '!']"
2,"['go', 'see', 'new', 'night', 'museum', 'movi', 'famili', 'oh', 'boy', 'three', 'year', 'old', 'movi', 'fuin']"
4,"['got', 'back', 'movi', '.', 'went', 'see', 'new', 'night', 'museum', 'rachel', '.', 'good']"
2,"['saw', 'new', 'night', 'museum', 'movi', '...', '...', 'okay', '...', 'lol', '7\\10']"
2,"['go', 'see', 'night', 'museum', '2', 'tall', 'boy']"
4,"['@', 'shannyoday', 'take', 'date', 'see', 'night', 'museum', '2', 'whenev', 'want', '...', 'look', 'soooooo', 'good']"
4,"['watch', 'night', 'museum', '.', 'get', 'realli', 'good']"
4,"['night', 'museum', ',', 'wolverin', 'junk', 'food', '-', 'perfect', 'monday', '!']"
4,"['saw', 'night', 'museum', '2', 'last', 'night', '..', 'pretti', 'crazi', 'movi', '..', 'cast', 'awesom', 'well', 'worth', '.', 'robin', 'william', 'forev', '!']"
2,"['saw', 'night', 'museum', ':', 'battl', 'swithsonian', 'today', '.', 'okay', '.', 'typic', '[', 'kid', ']', 'ben', 'stiller', 'movi', '.']"
2,"['take', 'kati', 'see', 'night', 'museum', '.', '(', 'pick', ')']"
0,"['night', 'museum', 'tonit', 'instead', '.', ':', '(', 'oh', 'well', '.', '4', 'yr', 'old', 'better', 'enjoy', '.', 'lol']"
2,"['gm', 'say', 'expect', 'announc', 'sale', 'hummer', 'soon', '-', 'reuter', ':', 'wdsugm', 'say', 'expect', 'announc', 'sale', 'hummer', '..', 'http', ':', '//bit.ly/4e1fv']"
0,"[""'s"", 'unfortun', 'stimulu', 'plan', 'put', 'place', 'twice', 'help', 'gm', 'back', 'american', 'peopl', 'led', 'inevit']"
0,"['tell', 'give', '$', '$', 'gm', '?', '?', 'use', '$', 'program', 'support', 'unemploy', '.']"
0,"['@', 'jdreiss', 'oh', 'ye', 'gm', 'die', 'worth', 'boo', 'hahaha']"
0,"['time', 'warner', 'cabl', '3rd', 'time', 'sinc', 'memori', 'day', 'bummer', '!']"
0,"['would', 'rather', 'pay', 'reason', 'yearli', 'tax', '``', 'free', ""''"", 'fast', 'internet', ',', 'get', 'goug', 'time', 'warner', 'slow', 'connect', '.']"
0,"['nooooooo', 'dvr', 'die', 'half', 'way', 'ea', 'presser', '.', 'hate', 'time', 'warner']"
0,"['f', '*', 'ck', 'time', 'warner', 'cabl', '!', '!', '!', 'f', '*', 'cking', 'suck', 'ball', '!', '!', '!', '$', '700', 'hd', 'tv', '&', 'amp', ';', 'damn', 'hd', 'channel', 'hardli', 'ever', 'come', '.', 'bullshit', '!', '!']"
0,"['time', 'warner', 'wors', 'custom', 'servic', 'ever', '.', 'never', 'use']"
0,"['time', 'warner', 'devil', '.', 'worst', 'possibl', 'time', 'internet', 'go', '.']"
0,"['fuck', 'internet', 'damn', 'time', 'warner', '!']"
0,"['time', 'warner', 'realli', 'pick', 'worst', 'time', 'work', '.', 'want', 'get', 'mtv.com', 'watch', 'hill', '.', 'wtfffff', '.']"
0,"['hate', 'time', 'warner', '!', 'soooo', 'wish', 'vio', '.', 'cant', 'watch', 'fricken', 'met', 'game', 'w/o', 'buffer', '.', 'feel', 'like', 'im', 'watch', 'free', 'internet', 'porn', '.']"
0,"['ahh', '...', 'got', 'rid', 'stupid', 'time', 'warner', 'today', '&', 'amp', ';', 'take', 'nap', 'roomi', 'cook', '.', 'pretti', 'good', 'end', 'monday', ':', ')']"
0,"['time', 'warner', ""'s"", 'hd', 'line', 'crap', '.']"
0,"['fuck', 'time', 'warner', 'cabl', '.', 'didnt', 'know', 'modem', 'could', 'explod', '.', 'susan', 'boyl', 'suck', '!']"
2,"['time', 'warner', 'cabl', 'pull', 'plug', ""'the"", 'girlfriend', 'experi', ""'"", '-', '(', 'www.tinyurl.com/m595fk', ')']"
0,"['time', 'warner', 'cabl', 'slogan', ':', 'call', 'day', '2pm', 'happen', '.']"
2,"['rocawear', 'head', 'china', ',', 'build', '300', 'store', '-', 'http', ':', '//tinyurl.com/nofet3']"
2,"['climat', 'focu', 'turn', 'beij', ':', 'unit', 'nation', ',', 'u', 'european', 'govern', 'call', 'china', 'co-o', '..', 'http', ':', '//tinyurl.com/lto92n']"
2,"['myfoxdc', 'barri', 'student', 'back', 'trip', 'china', ':', 'silver', 'spring', 'high', 'school', ""'s"", 'class', 'trip', 'china', 'en', '..', 'http', ':', '//tinyurl.com/nlhqba']"
2,"['three', 'china', 'aerospac', 'giant', 'develop', 'tianjin', 'binhai', 'new', 'area', ',', '22.9', 'b', 'yuan', 'invest', 'http', ':', '//bit.ly/mmidv']"
2,"['http', ':', '//xi.gs/04fo', 'gm', 'ceo', ':', 'china', 'continu', 'key', 'partner']"
2,"['rt', '@', 'latimesauto', 'time', 'buy', 'gm', 'car', '?', 'http', ':', '//bit.ly/nrzlu']"
0,"['recov', 'surgeri', '..', 'wish', '@', 'julesrenn', ':', '(']"
4,"['wrist', 'still', 'hurt', '.', 'get', 'look', '.', 'hate', 'dr/dentist/scari', 'place', '.', ':', '(', 'time', 'watch', 'eagl', 'eye', '.', 'want', 'join', ',', 'txt', '!']"
2,"['dentist', 'tomorrow', '.', 'brush', 'well', 'morn', '.', 'like', 'make', 'hair', 'nice', 'get', 'cut', '.', '?']"
0,"['dentist', 'lie', '!', '``', 'u', 'wo', ""n't"", 'feel', 'discomort', '!', 'prob', 'wo', ""n't"", 'even', 'need', 'pain', 'pill', ""''"", 'man', 'u', 'twippin', 'shit', 'hurt', '!', '!', 'mani', 'pill', 'take', '!', '!']"
0,"['@', 'kirstiealley', 'dentist', 'great', ""'s"", 'expens', '...', '=', '(']"
2,"['@', 'kirstiealley', 'pet', 'dentist', 'http', ':', '//www.funnyville.com/fv/pictures/dogdentures.shtml']"
4,"['stude', 'math', ';', ')', 'tomorrow', 'exam', 'dentist', ':', ')']"
0,"['dentist', 'wrong', '...', 'wrong']"
0,"['go', 'dentist', 'later', '.', ':', '|']"
0,"['son', 'look', 'car', 'onlin', '.', 'hate', 'car', 'shop', '.', 'would', 'rather', 'go', 'dentist', '!', 'anyon', 'good', 'car', 'good', 'price', 'sell', '?']"
2,"['ncaa', 'basebal', 'super', 'region', '-', 'ram', 'club', 'http', ':', '//bit.ly/ro7nx']"
2,"['start', 'play', 'major', 'leagu', 'basebal', '2k9', '.', 'http', ':', '//raptr.com/h3llgwar']"
2,"['cardin', 'basebal', 'advanc', 'super', 'region', '.', 'face', 'cs-fullerton', 'friday', '.']"
2,"['soni', 'coupon', 'code', '..', 'expir', 'soon', '..', 'http', ':', '//www.coupondork.com/r/1796']"
2,"['wait', 'line', 'safeway', '.']"
0,"['luke', 'got', 'stop', 'walk', 'safeway', 'ask', 'empti', 'pocket', 'lift', 'shirt', '.', 'jack', '?']"
2,"['realiz', 'gym', 'safeway', '!']"
2,"['@', 'xphile1908', 'three', 'word', ':', '``', 'safeway', 'dot', 'com', ""''""]"
4,"['safeway', 'rock', 'n', 'roll', 'tonight']"
2,"['bout', 'hit', 'safeway', 'got', 'ta', 'eat']"
2,"['jake', ""'s"", 'go', 'safeway', '!']"
2,"['found', 'safeway', '.', 'pick', 'stapl', '.']"
2,"['safeway', 'super-market', 'via', 'mobil', 'coupon', 'http', ':', '//bit.ly/onh7w']"
0,"['safeway', 'bathroom', 'still', 'smell', 'like', 'as', '!']"
0,"['safeway', 'elkhorn', ',', 'move', 'like', ""'re"", 'dead', '!']"
2,"['normal', 'weight', '(', 'get', ')', '?', 'normal', 'eat', 'blog', 'http', ':', '//bit.ly/zet8o']"
2,"['eat', 'watch', 'movi', '....']"
2,"['eat', 'sashimi']"
2,"['eat', 'home', 'made', 'yema']"
2,"['eat', 'cake']"
4,"['love', 'dwight', 'howard', ""'s"", 'vitamin', 'water', 'commerci', '...', 'wish', 'nike', 'adida', '.', 'lol', '.']"
0,"['found', 'noth', 'nike', 'factori', ':', '/', 'banana', 'republ', 'outlet', '!', 'http', ':', '//myloc.me/2z']"
2,"['iphon', 'may', 'get', 'radio', 'tag', 'nike', ':', 'recently-releas', 'itun', 'version', '8.2', 'suggest', 'voiceov', 'function', '..', 'http', ':', '//tinyurl.com/oq5ctc']"
4,"['lovin', 'nike', 'alreadi', ""'s"", 'run', 'spot', 'bedroom']"
2,"['launch', '!', 'http', ':', '//imgsearch.net', '#', 'imgsearch', '#', 'ajax', '#', 'jqueri', '#', 'webapp']"
4,"['@', 'matthewcyan', 'final', 'got', 'around', 'use', 'jqueri', 'make', 'bio', 'collaps', '.', 'yay', 'slide', 'anim', '.']"
2,"['rt', '@', 'jqueri', ':', 'ultim', 'jqueri', 'list', '-', 'http', ':', '//jquerylist.com/']"
2,"['extract', 'open-sourc', 'jqueri', 'plugin', 'stormweight', 'highlight', 'text', 'regular', 'express', ':', 'http', ':', '//bit.ly/ybjkb']"
2,"['@', 'anna_debenham', 'php', 'jqueri', 'hack', '?']"
2,"['jqueri', 'cheat', 'sheet', 'http', ':', '//www.javascripttoolbox.com/jquery/cheatsheet/']"
2,"['begin', 'javascript', 'cs', 'develop', 'jqueri', '#', 'javascript', '#', 'cs', '#', 'jqueri', 'http', ':', '//bit.ly/to3e5']"
4,"['@', 'pdubyad', 'right', '!', '!', '!', 'lol', ""'ll"", 'get', '!', '!', 'high', 'expect', ',', 'warren', 'buffet', 'style', '.']"
4,"['rt', '@', 'blknprecious1', ':', 'rt', 'great', '@', 'dbroo', '``', 'someon', ""'s"", 'sit', 'shade', 'today', 'someon', 'plant', 'tree', 'long', 'time', 'ago', '.', '``', '-', 'warren', 'buffet']"
2,"['warren', 'buffet', 'economi', 'http', ':', '//ping.fm/lau0p']"
4,"['warren', 'buffet', 'becam', '(', 'time', ')', 'richest', 'man', 'unit', 'state', ',', 'work', 'invest', '1', 'big', 'idea', 'lead', 'fortun']"
4,"['accord', 'creat', 'school', ',', 'notr', 'dame', '7', 'receiv', 'ncaa', '10', '84', 'higher', 'rate', ':', ')', '*', 'sweet', '*']"
2,"['all-star', 'basketbal', 'classic', 'tuesday', 'featur', 'top', 'talent', ':', 'chattanooga', ""'s"", 'notr', 'dame', 'high', 'school', 'play', 'host', '..', 'http', ':', '//bit.ly/qltja']"
4,"['@', 'blondebroad', ""'s"", 'definit', 'warranti', '&', 'amp', ';', 'experi', 'amazon', 'support', 'kindl', 'great', '!', 'contact', 'kindle2']"
2,"['rt', 'look', ',', 'avail', '!', 'amazon', 'kindle2', '&', 'amp', ';', 'kindl', 'dx', ',', 'get', ':', 'http', ':', '//short.to/87ub', 'top', 'electron', 'book', 'reader', 'period', ',', 'free', '2', 'day', 'ship', '...']"
0,"['time', 'warner', 'road', 'runner', 'custom', 'support', 'absolut', 'blow', '.', 'hate', 'high-spe', 'net', 'option', '.', ""'m"", 'readi', 'go', 'nuclear', '.']"
0,"['time', 'warner', 'cabl', 'phone', 'rep', 'r', 'dumber', 'nail', '!', '!', '!', '!', '!', 'ugh', '!', 'cabl', 'work', '10', 'min', 'ago', 'wtf', '!']"
0,"['@', 'siratomofbon', 'tri', 'time', 'warner', ""n't"", 'nice', 'record', 'today', '.', ':', ')']"
0,"['omg', '-', 'time', 'warner', ""f'ed"", 'internet', 'instal', '-', 'instead', 'today', 'next', 'saturday', '-', 'anoth', 'week', 'w/o', 'internet', '!', '&', 'amp', ';', '$', '*', 'ehfa^v9fhg', '[', '*', '#', 'fml', '.']"
0,"['wth', '..', 'never', 'seen', 'line', 'loooong', 'time', 'warner', ',', 'ugh', '.']"
0,"['impati', 'await', 'arriv', 'time', 'warner', 'guy', '.', ""'s"", 'way', 'pretti', 'insid', 'afternoon']"
2,"['man', 'accost', 'roger', 'feder', 'french', 'open', 'http', ':', '//ff.im/3hcpt']"
0,"['naiv', 'bay', 'use', 'em', 'text', 'classif', '.', 'realli', 'frustrat', '...']"
